Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Relais de Mafate (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.07749373,55.42404359,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2020-10-02,Relais de Mafate (Le)#+33 2 62 43 61 77##,,,https://data.datatourisme.fr/54/dbbd80e4-d8ae-354f-9593-669d8856d267
Tamaréo (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.076082,55.421875,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2023-01-30,Tamaréo (Le)#+33 6 92 32 08 28#letamareo@gmail.com#,,,https://data.datatourisme.fr/54/1e538285-ddbc-37b8-9696-08f06bd455b2
Ti'Tankaz,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.075445,55.424374,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2019-10-10,Ti'Tankaz#+33 6 92 37 97 37##,,,https://data.datatourisme.fr/54/1e8d1fd6-4ad1-3b81-8007-55b0a04bcd62
Camping du Cryptoméria,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.07906907,55.4244312,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2020-07-21,Camping du Cryptoméria#+33 6 92 45 59 33#jeromecollet56@gmail.com#,,,https://data.datatourisme.fr/54/e9e25ff1-3bc6-3e47-a85e-71a4c474640e
Gîte le Jacquanelle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.045506,55.412124,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2019-10-10,Gîte le Jacquanelle#+33 6 92 38 99 36#gebegue@laposte.net#,,,https://data.datatourisme.fr/54/249c6336-79f9-3212-9e66-efb1c6b29659
Gîte les Créoles,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.07470754,55.42263898,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2023-01-30,Gîte les Créoles#+33 2 62 43 51 74##,,,https://data.datatourisme.fr/54/d6dbada7-1536-361f-a91a-4db8c322e62a
Au P'tit Cirque - By Tamaréo,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.076082,55.421875,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2022-06-27,Au P'tit Cirque - By Tamaréo#+33 6 92 32 08 28#letamareo@gmail.com#,,,https://data.datatourisme.fr/54/4cc5a064-6d4d-3792-824b-c220ad88a731
Gîte et table d'hôtes Monsieur Libelle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.075549,55.42203,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2023-01-30,Gîte et table d'hôtes Monsieur Libelle#+33 6 93 33 26 28#libellejonathan@hotmail.com#,,,https://data.datatourisme.fr/54/276b6b2e-64b5-3624-9641-a7e7ed9d89b8
Bègue Alain,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.077,55.424,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2022-01-12,Bègue Alain#+33 6 92 31 18 70#gitalainbegue@gmail.com#,,,https://data.datatourisme.fr/54/c8c35e55-3602-37f1-80d8-6bd008b0b6d3
Chez Gravina Yvon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.07854351,55.42328183,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2023-01-30,Chez Gravina Yvon#+33 2 62 43 38 72##,,,https://data.datatourisme.fr/54/ffa47883-2e56-330f-a65d-aa75cede4c76
Gîte Oréo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.0775261,55.42169494,La Nouvelle - Mafate,97419#La Possession,,,,,Soubik,ADT Réunion,2023-02-14,Gîte Oréo#+33 6 92 04 32 28#giteoreo@gmail.com#,,,https://data.datatourisme.fr/54/d9d4b13a-c16a-3401-ae4f-30148cc3fa75
Le pti coin sandwicherie,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-20.893558,55.500159,75 rue du Karting,97490#Saint-Denis,,,,,Soubik,ADT Réunion,2019-10-10,Le pti coin sandwicherie#+33 2 62 48 59 54##,,,https://data.datatourisme.fr/54/dbecbe95-5d12-3c0f-ac29-e85816385ff8
Studio Saint-Gilles,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.073494,55.22454,"73, rue des Maldives - appt 66- rés. Carré St Gilles",97434#Saint-Paul,,,,,Soubik,ADT Réunion,2020-05-20,Studio Saint-Gilles#+33 6 92 21 04 71#bourgue.nadegepierre@wanadoo.fr#http://studiostgilles.skyrock.com/,,,https://data.datatourisme.fr/54/dc0b7539-ea0e-33f0-ae83-7f9f8bb7fd02
Longane (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.271964,55.486796,"273, chemin des Acajous",97432#Saint-Pierre,,,,,Soubik,ADT Réunion,2022-07-22,Longane (Le)#+33 2 62 57 38 07#longane974@gmail.com#http://le-longane.allonslareunion.com/,,,https://data.datatourisme.fr/54/dc2713cd-e61b-3d1b-a675-43600c61037e
Camphrier 2 (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.262222,55.4772222,"273, chemin des Acajous",97432#Saint-Pierre,,,,,Soubik,ADT Réunion,2022-11-04,Camphrier 2 (Le)#+33 6 92 69 73 21#longane974@gmail.com#,,,https://data.datatourisme.fr/54/b53bfc4b-57c1-3b42-9a09-934519edf10b
Camphrier 1 (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.271964,55.486796,"273, chemin des Acajous",97432#Saint-Pierre,,,,,Soubik,ADT Réunion,2022-11-04,Camphrier 1 (Le)#+33 2 62 57 38 07#longane974@gmail.com#,,,https://data.datatourisme.fr/54/3327fcb7-a1fe-30b1-95a7-15f02b840768
Caze Alambic (La),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.32304224,55.55664272,"112, rue des Platanes - Piton des Goyaves",97429#Petite-Île,,,,,Soubik,ADT Réunion,2019-10-10,Caze Alambic (La)#+33 2 62 38 90 81##,,,https://data.datatourisme.fr/54/dc47cda9-bd19-37ea-919d-81d5b0ec8a1b
Ti Mahi-Mahi,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.056852,55.223548,"165 bis, rue du Général de Gaulle",97434#Saint-Paul,,,,,Soubik,ADT Réunion,2019-10-10,Ti Mahi-Mahi#+33 6 92 10 90 66##,,,https://data.datatourisme.fr/54/dc7ede09-23f2-32c5-ba00-875ab3b2e879
Thim Nautique,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ServiceProvider|https://www.datatourisme.fr/ontology/core#Transport|https://www.datatourisme.fr/ontology/core#Seaport|https://www.datatourisme.fr/ontology/core#Transporter,-21.057026,55.223403,"165 bis, rue du Général de Gaulle",97434#Saint-Paul,,,,,Soubik,ADT Réunion,2020-10-28,Thim Nautique#+33 2 62 24 23 24#thim.contact@gmail.com#https://www.thimloc.fr/,,,https://data.datatourisme.fr/54/4e7705f9-e741-3f18-9a1e-32df38785d16
Pulcinella,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.029174,55.266893,22 chemin des Combavas,97460#Saint-Paul,,,,,Soubik,ADT Réunion,2021-06-29,Pulcinella#+33 6 92 41 17 79##,,,https://data.datatourisme.fr/54/6ae4354b-15e9-312b-b50f-2d5a89612837
Villa de la Région (La),https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,-20.88444775,55.4507986,"49, rue de Paris",97400#Saint-Denis,,,,,Soubik,ADT Réunion,2019-10-10,Villa de la Région (La)#+33 2 62 91 24 30#contact@madoi.re#,,,https://data.datatourisme.fr/54/6af95122-fd2f-3d90-b09e-203ea25b7e77
Case O Zoizos (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.378405,55.606527,10 rue Léon Dehaulme,97480#Saint-Joseph,,,,,Soubik,ADT Réunion,2021-02-16,Case O Zoizos (La)#+33 6 93 46 99 48#martine.huahine@gmail.com#https://www.lacaseozoizos.com/,,,https://data.datatourisme.fr/54/6b2911b8-3690-331e-ab35-8857b4714ca9
Zampone Pothin,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CraftsmanShop|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,-21.266427,55.506404,233 chemin Rose Payet,97430#Le Tampon,,,,,Soubik,ADT Réunion,2021-06-25,Zampone Pothin#+33 6 92 98 92 63#pothinfab@gmail.com#,,,https://data.datatourisme.fr/54/6b94f5ff-358b-3406-8341-ef0ff5b373c3
Voyazil,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|https://www.datatourisme.fr/ontology/core#LocalProductsShop|http://schema.org/LocalBusiness,-20.960028,55.654155,466 rue de la Gare,97440#Saint-André,,,,,Soubik,ADT Réunion,2022-01-12,Voyazil#+33 2 62 97 53 97#standre@voyazil.com#,,,https://data.datatourisme.fr/54/6c45a506-5a50-3b7c-b476-cf5cad651452
Panorama (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.129811,55.479391,31 E route du Bras Sec - Matarum,97413#Cilaos,,,,,Soubik,ADT Réunion,2021-02-08,Panorama (Le)#+33 6 92 73 72 92#mlaure.974@live.fr#,,,https://data.datatourisme.fr/54/6dd19316-9251-3880-866b-e7eb0ac4378d
Aviaty Chez Fifi,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-21.286062,55.4806,1 rue Jules Bertin,97432#Saint-Pierre,,,,,Soubik,ADT Réunion,2021-02-16,Aviaty Chez Fifi#+33 6 92 32 10 33#sisilulu974@yahoo.com#,,,https://data.datatourisme.fr/54/6e91bac8-88e8-33be-8681-c56836c7eff5
Touareg,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.877322,55.453721,"42, rue Charles Gounod",97400#Saint-Denis,,,,,Soubik,ADT Réunion,2019-10-10,Touareg#+33 2 62 41 22 34##,,,https://data.datatourisme.fr/54/700eaab2-783b-3c37-b0b5-cb1f7ff9480e
Entre-Deux Lys,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.24467,55.483571,"3, impasse des Lys - ravine des Citrons",97414#Entre-Deux,,,,,Soubik,ADT Réunion,2020-07-08,Entre-Deux Lys#+33 6 92 85 24 59#bernard.malet3@orange.fr#,,,https://data.datatourisme.fr/54/70a44051-a2c9-3d8d-b5cc-7f15fcfcb511
Kaz Kian (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.142746,55.798997,8 chemin de l'Eglise - Piton Sainte-Rose,97439#Sainte-Rose,,,,,Soubik,ADT Réunion,2021-06-21,Kaz Kian (La)#+33 6 92 19 99 29#ysle91@hotmail.fr#,,,https://data.datatourisme.fr/54/7158e91f-8121-30a0-8e81-ad69d42f0ff9
Enjoy Tourisme Réunion,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,-21.343233,55.478197,.,97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Enjoy Tourisme Réunion#+33 6 93 30 82 89#enjoytourismereunion@contactoi.com#,,,https://data.datatourisme.fr/54/71eed182-4756-33f0-b7e6-4f87458c6312
Alazard Romain,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,-21.336696,55.520438,.,97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Alazard Romain#+33 6 92 82 82 57#romain@canyonescalade.re#http://canyonescalade.re/,,,https://data.datatourisme.fr/54/60d2f5ce-25e6-39b5-92e6-38fdcb1add6b
Guide Bourbon,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,-21.344972,55.502792,.,97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Guide Bourbon#+33 2 62 68 07 16#raynald.lorient@yahoo.fr#,,,https://data.datatourisme.fr/54/d13621dc-3122-33e7-ad07-59d3f416f56d
Services Cycles,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,-21.343624,55.479841,.,97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Services Cycles#+33 6 92 62 16 53#iougy@live.fr#,,,https://data.datatourisme.fr/54/efcb12d1-1660-384b-9184-83235152691d
Alpanes,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#NaturalHeritage|https://www.datatourisme.fr/ontology/core#NauticalCentre|http://schema.org/Landform,-21.362539,55.529781,.,97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Alpanes#+33 6 92 77 75 30#contact@alpanes.com#http://www.alpanes.com/,,,https://data.datatourisme.fr/54/e29ec062-51f6-3873-996c-4980fccb0b51
Goodsèl,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.9454,55.647935,1694 avenue Ile de France,97440#Saint-André,,,,,Soubik,ADT Réunion,2022-10-19,Goodsèl#+33 6 93 90 90 76#goodsel.reunion@gmail.com#,,,https://data.datatourisme.fr/54/7233f4d6-9ff9-3edd-8307-b83118689297
My Krep's,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.95613,55.311943,Centre Commercial Cap Sacré Coeur,97420#Le Port,,,,,Soubik,ADT Réunion,2021-01-29,My Krep's#+33 2 62 33 31 17#mykreps@orange.fr#,,,https://data.datatourisme.fr/54/7275fcb6-2237-3cc5-8453-6ab9498a1c5f
Restaurant des Bons Enfants,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.338836,55.470825,124 rue des Bons Enfants,97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2020-09-17,Restaurant des Bons Enfants#+33 2 62 25 08 27##,,,https://data.datatourisme.fr/54/95eef47e-0f91-38b6-b36e-3073a35562f7
Massage à la Plage,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#FitnessCenter|http://schema.org/LocalBusiness,-21.100756,55.243056,La Saline-les-Bains et l'Hermitage,97434#Saint-Paul,,,,,Soubik,ADT Réunion,2022-08-30,Massage à la Plage#+33 6 92 49 15 54#massagesalaplage@gmail.com#,,,https://data.datatourisme.fr/54/7a30801d-5dbc-3beb-a247-ddd3c286f0ae
Savriama Véronique,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-20.96970121,55.69189562,"1084, chemin 80 - Rivière du Mât les Bas",97440#Saint-André,,,,,Soubik,ADT Réunion,2022-01-11,Savriama Véronique#+33 2 62 46 69 84#aves974@gmail.com#,,,https://data.datatourisme.fr/54/7a4c491d-d4fb-371d-b288-f6e9422598f9
Savriama Véronique,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.96970161,55.69189595,"1084, chemin 80 - Rivière du Mât les Bas",97440#Saint-André,,,,,Soubik,ADT Réunion,2022-01-11,Savriama Véronique#+33 2 62 46 69 84#aves974@gmail.com#,,,https://data.datatourisme.fr/54/9add023c-b672-3f4c-a575-ebeaa9b61a6d
Resto Bar Don Camillo,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-21.374664,55.666257,"95, rue Marcel Pagnol",97480#Saint-Joseph,,,,,Soubik,ADT Réunion,2019-10-10,Resto Bar Don Camillo#+33 6 92 50 78 99#boyer_rodolphe@hotmail.com#,,,https://data.datatourisme.fr/54/7a6aa639-8d48-327d-818d-a1f3c9ca04ce
Via Veneto,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.88271782,55.45428622,"151, rue Jules Auber",97400#Saint-Denis,,,,,Soubik,ADT Réunion,2020-06-10,Via Veneto#+33 2 62 21 92 71##,,,https://data.datatourisme.fr/54/7a6c65e4-1d81-3cef-8c91-9269f74d9a13
Théâtre Vollard,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,-20.9190923,55.4859363,"23, rue Léopold Rambaud",97490#Saint-Denis,,,,,Soubik,ADT Réunion,2019-10-10,Théâtre Vollard#+33 6 92 08 26 51#genvrin@vollard.com#,,,https://data.datatourisme.fr/54/7ae431be-9912-3edf-a32c-1ba74698406e
Palaxa - Grande Halle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,-20.8843579,55.4672691,"23, rue Léopold Rambaud",97490#Saint-Denis,,,,,Soubik,ADT Réunion,2019-10-10,Palaxa - Grande Halle#+33 2 62 20 41 10##,,,https://data.datatourisme.fr/54/448c4700-c330-3418-933e-d86bb29b6b76
Chez Joanny,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.047171,55.267301,"39, rue Joseph Hubert CD 6",97435#Saint-Paul,,,,,Soubik,ADT Réunion,2019-10-10,Chez Joanny#+33 2 62 71 08 34#chezjoanny@gmail.com#,,,https://data.datatourisme.fr/54/7b65abf9-1a6e-3913-8c57-0bda54020f60
Pilon d'Or (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-20.98082143,55.38255811,"27, rue Germain Elisabeth",97419#La Possession,,,,,Soubik,ADT Réunion,2019-10-10,Pilon d'Or (Le)#+33 2 62 32 01 56##,,,https://data.datatourisme.fr/54/7b8cb1a5-b350-30c6-91f5-34dcc790a21b
Gréguois (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.330064,55.605963,"193 B, rue Jules Hoareau - Plaine des Grègues",97480#Saint-Joseph,,,,,Soubik,ADT Réunion,2019-10-10,Gréguois (Le)#+33 6 92 68 44 54##,,,https://data.datatourisme.fr/54/7b8ced38-6d41-3835-beb5-cb8686b43d2f
